Station_number,Year,Month,Day,min,max,Rainfall,Solar_exposure
85291,1998,8,30,1,9,-,15
85291,1998,9,2,0,9,-,15.8
85291,1998,9,3,1,10,-,14.6
85291,1998,9,4,5,9,-,16
85291,1998,9,6,-3,-1,-,6.2
85291,1998,9,9,1,7,-,-
85291,1998,9,10,3,8,-,-
85291,1998,9,11,4,10,-,13.2
85291,1998,9,12,5,6,-,6.1
85291,1998,9,13,1,4,-,9.9
85291,1998,9,16,-5,-1,-,8.9
85291,1998,9,17,-3,4,-,15.7
85291,1998,9,18,-1,7,-,19
85291,1998,9,19,3,6,-,5.9
85291,1998,9,20,-2,9,-,20.1
85291,1998,9,21,1,9,-,10.2
85291,1998,9,22,6,10,-,6.6
85291,1998,9,23,7,9,-,3.7
85291,1998,9,24,-3,0,-,11.9
85291,1998,9,25,-5,7,6,22.8
85291,1998,9,28,6,13,0.4,-
85291,1998,10,2,8,10,5,3.9
85291,1998,10,3,3,6,23,21.8
85291,1998,10,6,-2,-1,15,17.5
85291,1998,10,9,-1,2,21,8
85291,1998,10,10,-2,3,-,17.2
85291,1998,10,11,-2,3,-,13.4
85291,1998,10,12,0,5,-,14.8
85291,1998,10,13,-3,2,-,6.4
85291,1998,10,14,-2,9,8,23.6
85291,1998,10,15,1,8,7,14.2
85291,1998,10,18,4,7,2,10.9
85291,1998,10,19,-2,3,13,9.3
85291,1998,10,20,-4,1,0.8,6
85291,1998,10,21,-3,0,27,14
85291,1998,10,22,-3,4,-,17.6
85291,1998,10,23,-2,8,1,19.7
85291,1998,10,24,3,13,5,27.8
85291,1998,10,26,3,5,1,9.6
85291,1998,10,27,-5,-1,4,11.9
85291,1998,10,28,-5,2,13,21.1
85291,1998,10,31,-2,-1,6,16.8
85291,1998,11,1,-3,8,14,27
85291,1998,11,2,-3,14,6,30.2
85291,1998,11,7,8,18,0.2,18.1
85291,1998,11,8,-1,8,12,28.7
85291,1998,11,9,1,11,0.2,25.2
85291,1998,11,12,3,8,66,10
85291,1998,11,13,4,9,33,9.8
85291,1998,11,14,3,12,22,19.7
85291,1998,11,15,7,12,0.6,12.6
85291,1998,11,16,0,6,3,19.9
85291,1998,11,18,-3,3,7,13.2
85291,1998,11,19,-2,9,4,32.1
85291,1998,11,22,-1,4,14,12.4
85291,1998,11,23,1,9,4,18.1
85291,1998,11,24,1,8,2,26.8
85291,1998,11,25,2,11,0.4,21.6
85291,1998,11,26,4,17,0.6,31.1
85291,1998,11,28,-1,1,26,17.1
85291,1998,11,29,-1,4,13,10.2
85291,1998,11,30,-1,9,17,23.4
85291,1998,12,1,-1,13,0.2,33.7
85291,1998,12,7,2,12,0.8,17.8
85291,1998,12,8,1,14,0.2,-
85291,1998,12,13,12,13,3,2.8
85291,1998,12,14,6,9,19,18.6
85291,1998,12,15,5,9,1,8.9
85291,1998,12,16,3,14,2,22.6
85291,1998,12,17,7,13,0.2,19.7
85291,1998,12,18,4,14,0.2,34.3
85291,1998,12,19,6,18,0.2,31.8
85291,1998,12,21,-1,6,30,20.1
85291,1998,12,23,4,19,0.2,33.2
85291,1998,12,26,10,15,10,4.8
85291,1998,12,27,-1,2,49,4.8
85291,1998,12,28,-1,9,40,28.7
85291,1998,12,29,1,11,0.2,31.6
85291,1999,1,2,12,21,10,30.4
85291,1999,1,3,15,23,0.2,34
85291,1999,1,6,13,24,6,13.7
85291,1999,1,7,12,14,2,0.2
85291,1999,1,8,9,10,15,12.9
85291,1999,1,9,7,15,2,31.6
85291,1999,1,10,9,21,0.2,33.9
85291,1999,1,11,15,18,0.2,13
85291,1999,1,12,5,21,3,31.2
85291,1999,1,13,12,14,0.2,9.8
85291,1999,1,14,2,20,2,33.8
85291,1999,1,22,6,15,0.4,-
85291,1999,1,23,7,15,4,19.2
85291,1999,1,24,8,17,8,15
85291,1999,1,25,10,18,0.2,-
85291,1999,1,26,12,15,2,7.3
85291,1999,1,27,8,15,6,22.3
85291,1999,1,30,5,13,8,23.7
85291,1999,1,31,5,17,0.2,24.9
85291,1999,2,2,11,21,0.2,30.4
85291,1999,2,7,-1,3,29,17.1
85291,1999,2,8,-1,13,18,28.7
85291,1999,2,10,11,19,0.6,19.9
85291,1999,2,11,14,21,0.2,21.7
85291,1999,2,12,14,18,28,8.8
85291,1999,2,13,13,14,3,1.9
85291,1999,2,14,12,19,8,25.2
85291,1999,2,18,0,3,17,16
85291,1999,2,19,0,9,13,19.4
85291,1999,2,24,4,11,4,13.6
85291,1999,2,25,6,11,8,9.3
85291,1999,2,26,7,15,3,21.1
85291,1999,2,27,6,15,0.2,18.2
85291,1999,3,1,10,19,4,14.3
85291,1999,3,3,10,19,2,24.3
